#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
440000,439.999999997,-576791.295671,301.02501377,1.00535772992,23.2
441000,440.999999996,-575146.72372,301.631067699,1.00400729638,23.2
442000,441.999999996,-574531.669429,299.093040651,0.997633680908,23.2
443000,442.999999996,-575642.746044,300.661905155,1.00325526776,23.2
444000,443.999999996,-577975.223358,298.679172341,1.00761237885,23.2
445000,444.999999996,-577997.928978,298.560912561,1.01029165377,23.2
446000,445.999999996,-577278.632127,299.367401386,1.00315122518,23.2
447000,446.999999996,-575999.393326,299.221845225,1.0019841584,23.2
448000,447.999999996,-576920.78068,302.748148751,1.00243602084,23.2
449000,448.999999996,-576252.676284,297.67528051,1.00162788942,23.2
450000,449.999999996,-575456.611559,300.597535081,1.00518470658,23.2
451000,450.999999996,-576494.288051,299.73854953,1.00654910671,23.2
452000,451.999999996,-575374.457341,301.206052798,1.00702825279,23.2
453000,452.999999996,-577095.096909,301.006186148,1.00748799892,23.2
454000,453.999999996,-576621.150873,300.945796478,1.00672089688,23.2
455000,454.999999996,-577180.387484,300.744693314,1.00798529031,23.2
456000,455.999999996,-576790.006988,299.994380194,1.00319932777,23.2
457000,456.999999996,-576854.848188,298.507599274,1.00430051694,23.2
458000,457.999999996,-576096.389356,301.2662226,1.00073269979,23.2
459000,458.999999996,-575149.920806,298.787931062,1.00355341686,23.2
460000,459.999999996,-576034.664223,303.705599826,1.00229991429,23.2
461000,460.999999996,-575605.573325,300.926461728,1.00325940932,23.2
462000,461.999999996,-575889.563367,300.41334837,1.00260535539,23.2
463000,462.999999996,-576229.671471,299.734937907,1.00137498852,23.2
464000,463.999999996,-577184.824587,299.625625709,1.00005447608,23.2
465000,464.999999996,-575027.851884,298.679884254,1.00372573858,23.2
466000,465.999999996,-576796.276801,299.896993882,1.00498213263,23.2
467000,466.999999996,-577693.654919,300.52796798,1.0037355577,23.2
468000,467.999999996,-577313.373957,299.518212452,1.00557076085,23.2
469000,468.999999996,-575773.990061,299.403764494,1.00345420307,23.2
470000,469.999999996,-575593.86111,301.283283552,1.00183944996,23.2
471000,470.999999996,-575937.200101,301.897451282,1.00076645936,23.2
472000,471.999999996,-576795.428865,301.144764197,1.00043187025,23.2
473000,472.999999996,-575644.621061,297.849847724,1.00105877587,23.2
